"Source:","C:\Users\Thomas\Documents\Modular Synthesizer\TK Projektor\Arduino Quantizer TK\Hardware\Arduino Quantizer TK V1.sch"
"Date:","03-11-2022 17:30:33"
"Tool:","Eeschema (5.1.10)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","77"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Text","text"
"","","A1","Arduino_Nano_v3.x","MCU_Module:Arduino_Nano_v3.x","Module:Arduino_Nano","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf","",""
"","","C1","4µ7","Device:CP","Thomas PCB:CP_Radial_D5.0mm_P2.00mm_P5.00mm","~","",""
"","","C2","100n","Device:C","Thomas PCB:C_Rect_L7.0mm_W2.0mm_P2.50_P5.00mm","~","",""
"","","C3","100n","Device:C","Thomas PCB:C_Rect_L7.0mm_W2.0mm_P2.50_P5.00mm","~","",""
"","","C4","100n","Device:C","Thomas PCB:C_Rect_L7.0mm_W2.0mm_P2.50_P5.00mm","~","",""
"","","C5","100n","Device:C","Thomas PCB:C_Rect_L7.0mm_W2.0mm_P2.50_P5.00mm","~","",""
"","","C6","10n","Device:C","Thomas PCB:C_Rect_L7.0mm_W2.0mm_P2.50_P5.00mm","~","",""
"","","C7","10n","Device:C","Thomas PCB:C_Rect_L7.0mm_W2.0mm_P2.50_P5.00mm","~","",""
"","","C8","47µ","Device:CP","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","",""
"","","C9","47µ","Device:CP","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","",""
"","","C10","220µ","Device:CP","Thomas PCB:CP_Radial_D10.0mm_P5.00mm","~","",""
"","","C11","220µ","Device:CP","Thomas PCB:CP_Radial_D10.0mm_P5.00mm","~","",""
"","","D1","BAT43","Diode:BAT43","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85660/bat42.pdf","",""
"","","D2","BAT43","Diode:BAT43","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85660/bat42.pdf","",""
"","","D3","1N4733 5.1V","Diode:1N47xxA","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","https://www.vishay.com/docs/85816/1n4728a.pdf","","5.1V"
"","","D4","Gate out LED","Device:LED_ALT","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","",""
"","","D5","BAT43","Diode:BAT43","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85660/bat42.pdf","",""
"","","D6","BAT43","Diode:BAT43","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85660/bat42.pdf","",""
"","","D7","1N4733 5.1V","Diode:1N47xxA","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","https://www.vishay.com/docs/85816/1n4728a.pdf","","5.1V"
